SettlementPoint,Year,Month,Mean,Min,Max,SD,Volatility
LZ_SOUTH,2019,01,27.057903225806452,7.6,123.19,9.207961381226529,0.2901114226420051
LZ_SOUTH,2019,02,23.72895833333333,6.44,61.77,7.511240029593379,0.3191939927445813
LZ_SOUTH,2019,03,30.529488559892332,7.37,721.89,37.109002758386055,0.4469401909807345
LZ_SOUTH,2019,04,27.147833333333338,4.0,134.58,14.693139289126746,0.4781294420965274
LZ_SOUTH,2019,05,27.210994623655917,10.73,87.14,10.367489242585489,0.34204072255849055
LZ_SOUTH,2019,06,27.259597222222222,11.71,123.14,14.759030011321766,0.4214121089015651
LZ_SOUTH,2019,07,31.13216397849462,11.68,279.97,27.6660579812289,0.5537276651541606
LZ_SOUTH,2019,08,127.10901881720432,11.0,3499.67,400.76833513693464,1.1993448161797948
LZ_SOUTH,2019,09,81.00911111111112,8.37,4996.6,378.7493983096634,0.8573066234529383
LZ_SOUTH,2019,10,32.942110215053766,6.93,846.41,53.660055684144815,0.5645500519293672
LZ_SOUTH,2019,11,25.80370833333333,5.53,195.9,14.772221026154101,0.4105630446134401
LZ_SOUTH,2019,12,19.786881720430113,3.46,77.45,7.023225109320717,0.3182904646361265
LZ_WEST,2016,01,19.51926075268817,4.47,56.26,5.972367020222796,0.2950384412402452
LZ_WEST,2016,02,15.044482758620688,-0.86,51.61,6.097312323786852,NaN
LZ_WEST,2016,03,16.002651413189774,0.46,60.97,7.447474696074763,0.5187077682474968
LZ_WEST,2016,04,17.153666666666666,0.33,91.7,9.379291805382461,0.6623540240912253
LZ_WEST,2016,05,17.73752688172043,1.43,73.98,8.085380793131261,0.4832276242328532
LZ_WEST,2016,06,23.48876388888889,3.76,107.61,10.783790816173294,0.3887388617394327
LZ_WEST,2016,07,27.178790322580642,9.05,115.9,12.88803002984509,0.39874742273644087
LZ_WEST,2016,08,30.01056451612903,13.37,226.91,25.763811703429592,0.47225048363265026
LZ_WEST,2016,09,26.767666666666667,10.69,204.46,15.181201137700208,0.37342175290841234
LZ_WEST,2016,10,25.182258064516127,1.5,285.76,17.138519624553343,0.46361962156304626
LZ_WEST,2016,11,19.343138888888884,0.97,60.38,7.035390776231643,0.43340025845040314
LZ_WEST,2016,12,25.165819892473127,0.37,139.73,11.654195202333174,0.560457018937311
LZ_WEST,2017,01,23.23137096774193,0.47,97.97,9.296835291406909,0.6069413806418604
LZ_WEST,2017,02,18.47705357142857,-3.67,72.56,9.104210009101465,NaN
LZ_WEST,2017,03,20.251197846567973,0.09,65.3,8.465475122425502,0.6307718207827995
LZ_WEST,2017,04,20.388569444444443,0.1,69.22,8.180402633204922,0.6138134746563491
LZ_WEST,2017,05,22.867795698924734,1.38,57.71,7.553185185074923,0.40473474515623886
LZ_WEST,2017,06,27.512319444444447,11.19,79.92,10.623585853794632,0.3332543033282559
